year,month,day,hour,speed
2014,1,18,10,82.2
2014,1,18,11,85.49
2014,1,18,12,89.64
2014,1,18,13,89.74
2014,1,18,14,87.94
2014,1,18,15,84.65
2014,1,18,16,85.59
2014,1,18,17,84.26
2014,1,18,18,84.64
2014,1,18,19,86.22
2014,1,18,20,90.17
2014,1,18,21,94.6
2014,1,18,22,97.84
2014,1,18,23,101.78
2014,1,19,0,103.24
2014,1,19,1,105.01
2014,1,19,2,105.18
2014,1,19,3,106.48
2014,1,19,4,101.09
2014,1,19,5,104.01
2014,1,19,6,101.5
2014,1,19,7,97.49
2014,1,19,8,97.07
2014,1,19,9,93.67
2014,1,19,10,91.34
2014,1,19,11,90.8
2014,1,19,12,92.98
2014,1,19,13,91.47
2014,1,19,14,86.51
2014,1,19,15,86.39
2014,1,19,16,85.28
2014,1,19,17,84.63
2014,1,19,18,81.42
2014,1,19,19,84.51
2014,1,19,20,86.38
2014,1,19,21,92.64
2014,1,19,22,95.82
2014,1,19,23,96.63
2014,1,20,0,95.58
2014,1,20,1,88.41
2014,1,20,2,83.42
2014,1,20,3,79.9
2014,1,20,4,83.22
2014,1,20,5,85.23
2014,1,20,6,70.34
2014,1,20,7,35.5
2014,1,20,8,57.84
2014,1,20,9,65.51
2014,1,20,10,75.87
2014,1,20,11,77
2014,1,20,12,81.54
2014,1,20,13,83.72
2014,1,20,14,76.87
2014,1,20,15,80.83
2014,1,20,16,82.32
2014,1,20,17,70.35
2014,1,20,18,65.28
2014,1,20,19,78.04
2014,1,20,20,83.75
2014,1,20,21,87.02
2014,1,20,22,90.07
2014,1,20,23,93
2014,1,21,0,93.4
2014,1,21,1,93.03
2014,1,21,2,89.02
2014,1,21,3,86.28
2014,1,21,4,87.71
2014,1,21,5,92.34
2014,1,21,6,87.02
2014,1,21,7,76.28
2014,1,21,8,76.36
2014,1,21,9,78.89
2014,1,21,10,78
2014,1,21,11,80.96
2014,1,21,12,80.17
2014,1,21,13,84.65
2014,1,21,14,83.63
2014,1,21,15,85.18
2014,1,21,16,85.79
2014,1,21,17,85.22
2014,1,21,18,86.08
2014,1,21,19,88.1
2014,1,21,20,89.28
2014,1,21,21,93.84
2014,1,21,22,94.8
2014,1,21,23,97.82
2014,1,22,0,98.15
2014,1,22,1,99.32
2014,1,22,2,95.34
2014,1,22,3,94.72
2014,1,22,4,93.58
2014,1,22,5,95.05
2014,1,22,6,88.51
2014,1,22,7,76
2014,1,22,8,70.84
2014,1,22,9,81.1
2014,1,22,10,74.88
2014,1,22,11,77.59
2014,1,22,12,81.32
2014,1,22,13,82.63
2014,1,22,14,83.75
2014,1,22,15,84.24
2014,1,22,16,85.34
2014,1,22,17,85.32
2014,1,22,18,85.53
2014,1,22,19,88.27
2014,1,22,20,89.18
2014,1,22,21,93.15
2014,1,22,22,94.5
2014,1,22,23,99
2014,1,23,0,98.92
2014,1,23,1,98.24
2014,1,23,2,96.15
2014,1,23,3,93.44
2014,1,23,4,93.95
2014,1,23,5,95.08
2014,1,23,6,70.06
2014,1,23,7,45.54
2014,1,23,8,69.52
2014,1,23,9,78.33
2014,1,23,10,69.21
2014,1,23,11,71.42
2014,1,23,12,78.24
2014,1,23,13,81.32
2014,1,23,14,81.92
2014,1,23,15,82.37
2014,1,23,16,84.64
2014,1,23,17,85.18
2014,1,23,18,84.31
2014,1,23,19,86.91
2014,1,23,20,87.81
2014,1,23,21,92.4
2014,1,23,22,94.96
2014,1,23,23,98.62
2014,1,24,0,99.31
2014,1,24,1,98.97
2014,1,24,2,98.09
2014,1,24,3,97.44
2014,1,24,4,94.77
2014,1,24,5,96.55
2014,1,24,6,91.07
2014,1,24,7,79.01
2014,1,24,8,72.54
2014,1,24,9,80.28
2014,1,24,10,80.1
2014,1,24,11,74.76
2014,1,24,12,82.48
2014,1,24,13,80.57
2014,1,24,14,81.24
2014,1,24,15,80.33
2014,1,24,16,83.08
2014,1,24,17,82.66
2014,1,24,18,84.3
2014,1,24,19,85.64
2014,1,24,20,86.4
2014,1,24,21,91.16
2014,1,24,22,94.29
2014,1,24,23,97.6
2014,1,25,0,100.12
2014,1,25,1,100.65
2014,1,25,2,101.74
2014,1,25,3,100.94
2014,1,25,4,97.17
2014,1,25,5,97.85
2014,1,25,6,93.97
2014,1,25,7,84.23
2014,1,25,8,86.15
2014,1,25,9,85.62
2014,1,25,10,82.18
2014,1,25,11,74.62
2014,1,25,12,79.39
2014,1,25,13,79.9
2014,1,25,14,82.85
2014,1,25,15,83.34
2014,1,25,16,84.64
2014,1,25,17,84.14
2014,1,25,18,87.05
2014,1,25,19,90.55
2014,1,25,20,92.46
2014,1,25,21,94.75
2014,1,25,22,97.15
2014,1,25,23,101.28
2014,1,26,0,103.97
2014,1,26,1,104.28
2014,1,26,2,103.22
2014,1,26,3,103.07
2014,1,26,4,103
2014,1,26,5,103.69
2014,1,26,6,101.79
2014,1,26,7,97.48
2014,1,26,8,97.37
2014,1,26,9,96.42
2014,1,26,10,94.72
2014,1,26,11,94.96
2014,1,26,12,94.76
2014,1,26,13,93.86
2014,1,26,14,91.8
2014,1,26,15,90.4
2014,1,26,16,87.82
2014,1,26,17,87.53
2014,1,26,18,86.93
2014,1,26,19,87.78
2014,1,26,20,88.1
2014,1,26,21,94.07
2014,1,26,22,97.48
2014,1,26,23,103.3
2014,1,27,0,103.04
2014,1,27,1,99.37
2014,1,27,2,99.34
2014,1,27,3,98.1
2014,1,27,4,97.36
2014,1,27,5,97.67
2014,1,27,6,73.48
2014,1,27,7,54.3
2014,1,27,8,78.33
2014,1,27,9,83.1
2014,1,27,10,76.32
2014,1,27,11,70.82
2014,1,27,12,70.24
2014,1,27,13,80.89
2014,1,27,14,81.71
2014,1,27,15,82.88
2014,1,27,16,85.27
2014,1,27,17,85.05
2014,1,27,18,86.32
2014,1,27,19,88.38
2014,1,27,20,89.31
2014,1,27,21,94.03
2014,1,27,22,95.93
2014,1,27,23,99.1
2014,1,28,0,101.59
2014,1,28,1,99.51
2014,1,28,2,90.74
2014,1,28,3,88.61
2014,1,28,4,88.57
2014,1,28,5,91.22
2014,1,28,6,85.18
2014,1,28,7,72.03
2014,1,28,8,71.48
2014,1,28,9,76.97
2014,1,28,10,75.65
2014,1,28,11,59.12
2014,1,28,12,67.07
2014,1,28,13,82.11
2014,1,28,14,80.75
2014,1,28,15,77.5
2014,1,28,16,78.63
2014,1,28,17,83.79
2014,1,28,18,82.25
2014,1,28,19,83.53
2014,1,28,20,85.71
2014,1,28,21,90.82
2014,1,28,22,93.24
2014,1,28,23,97.51
2014,1,29,0,100.39
2014,1,29,1,101.33
2014,1,29,2,99.32
2014,1,29,3,99.16
2014,1,29,4,99.27
2014,1,29,5,98.26
2014,1,29,6,91.63
2014,1,29,7,78.32
2014,1,29,8,80.67
2014,1,29,9,77.22
2014,1,29,10,57.73
2014,1,29,11,32.89
2014,1,29,12,44.79
